没戏	没辙	0.546938
只管	尽管	0.41513032
GDP	生产力	OOV
包袱	段子	0.55880606
由此	通过	0.51685333
日期	时间	0.61067766
爱面子	好高骛远	0.89608526
严厉	严谨	0.6261434
一方面	一边	0.6950027
托福	GRE	OOV
亏	幸亏	0.47103843
蹩脚	差强人意	0.58151704
容易	顺利	0.47757718
悲喜	大悲大喜	0.50836176
老气	土气	0.7036193
狭隘	狭窄	0.6438
抄袭	克隆	0.24386303
害臊	腼腆	0.83259314
幻境	红楼梦	0.40049732
依稀	清晰	0.6311859
权限	权力	0.74144125
伟大	壮烈	0.45459068
娇艳	幽美	0.58092964
理解	理会	0.46307665
酣睡	打鼾	0.6814974
自然	环境	0.6345521
振兴	建设	0.4864482
节日	假日	0.67342097
的哥	司机	0.24521933
几乎	差点儿	0.59688485
江湖	红尘	0.6119686
路子	后门	0.3027288
牛脾气	我行我素	0.62887293
物品	物质	0.58937466
塞车	拥挤	0.6851557
面	首	0.33371085
冷僻	晦涩	0.8299053
免费	便宜	0.4574857
发票	账单	0.6590451
回收站	垃圾篓	OOV
典型	代表	0.42916077
必须	必需	0.8125833
出神	发楞	OOV
琢磨	镂刻	0.25094518
身姿	身手	0.5934164
质量	重量	0.7060116
事变	后院起火	0.4731866
大小	多少	0.4935736
信物	证件	0.4789284
牺牲	粉身碎骨	0.6369789
豆蔻年华	黄金时代	0.5852915
血液	红细胞	0.72386605
硅谷	中关村	0.55142295
天赋	技能	0.6139444
酷	爽	0.5306562
旅客	驴友	0.4385054
隆重	重要	0.47146112
候选人	备胎	0.23379934
平凡	平庸	0.57380325
了不得	好	0.61397994
鸣谢	酬答	0.2165042
线路	行程	0.40535367
多角度	多元化	0.622135
要面子	虚荣心	0.78984344
许可证	执照	0.70480514
是非	方圆	0.19719031
崛起	凸起	0.24460654
工作日	开放日	0.44411534
大	高	0.4581314
吸引力	地磁力	OOV
右翼	左派	0.62888706
和谐	平安	0.3441862
商标	符号	0.45568007
违纪	贪污	0.59154606
环境	生态	0.66681886
实践	进行	0.49851522
买卖	营销	0.56719136
合理	合理性	0.80340606
辛勤	夜以继日	0.725418
手续	过程	0.48587424
渣	废品	0.44639534
高峰	山巅	0.40833917
收费	缴纳	0.5842602
享受	大快朵颐	0.53958493
怯懦	胆小鬼	0.53488326
杂事	闲事	0.4716417
言语	语言	0.5937067
借口	理由	0.6744175
与	以及	0.6689572
怯弱	狗熊	0.6367533
惠顾	照顾	0.56214553
迷人	气质	0.6583883
果粉	米粉	0.49434116
榜样	样子	0.45455587
愚钝	大智若愚	0.72880375
打假	扫黄	0.60837716
均衡	全面	0.5469847
制约	收敛	0.37700695
经营者	纳税人	0.5263741
瘦弱	苗条	0.7622017
前途	道路	0.23561077
遛弯	走路	OOV
爱心	慈善	0.7211331
光盘	硬盘	0.74385905
一体化	集成化	0.64629996
销魂	陶醉	0.48828983
光荣	流芳百世	0.3437251
观后感	影评	0.5328101
恼怒	愤慨	0.7540332
帮助	赞助	0.40966925
拥戴	崇拜	0.5361356
扯淡	闲聊	0.52423847
旅程	旅行	0.6863936
男孩	小伙子	0.6460495
见解	意见	0.76121175
穷苦	贫穷	0.7531251
生命	性命	0.60407555
滚蛋	滚开	0.670944
维他命	维生素	0.8046187
多元化	年轻化	0.7321484
宝贵	金子	0.27859303
结构	系统	0.5208393
玩偶	工具	0.45870465
丧失	失独	0.47935107
肚量	肚子	0.5617938
娇气	公主	0.3675955
寒暑假	黄金周	0.5205523
笑料	活宝	0.58884907
百货	商场	0.7522862
信息化	智能化	0.7013639
茶道	茶叶	0.48297402
罪孽	犯人	0.57858396
感冒药	退烧药	0.71770513
难点	问题	0.6673727
同事	朋友	0.75755346
名字	姓氏	0.7557142
网站	网页	0.6078057
名誉	名气	0.36263663
七情六欲	欲望	0.6167393
审理	问讯	0.5259625
工具	器具	0.68920934
意思	意义	0.61869425
优惠	降价	0.5431673
伴随	陪伴	0.4458561
尘垢	污秽	0.6109264
猫腻	阴谋诡计	0.5800445
吃醋	争风吃醋	0.8240225
软着陆	经济	0.3713629
生产力	创新	0.6283526
上市	盈利	0.5294424
泼妇	女强人	0.6200144
载体	书本	0.40184313
地址	小区	0.3951139
价钱	票房	0.5169647
表彰	进步	0.37861001
理论	结论	0.6646964
烦闷	失眠	0.5810557
亲人	敌人	0.4639794
跳槽	移动	0.34602967
饮酒	喝茶	0.6450476
财运	桃花运	0.57712185
女权	女性	0.5369257
一般	差	0.45323303
赌局	扑克牌	0.57020247
宋	明	0.50431544
雾霾	阴天	OOV
程序	指令	0.6677178
关键字	关键	0.48173314
松驰	疲软	0.6833583
平等	平均	0.2780728
经营	张罗	0.40541655
客套	礼貌	0.5480499
利用	使用	0.62077856
审查	自纠自查	OOV
炖	焖	0.7640385
喜欢	崇敬	0.41935107
暗号	密码	0.64349234
规律	原理	0.6030251
轻率	鲁莽	0.7495727
手法	方法	0.6484127
准则	规则	0.7204043
迂腐	墨守成规	0.87014794
闯祸	惹是生非	0.81990355
清晰	一清二楚	0.5154246
姐妹	闺蜜	0.5739557
扎实	脚踏实地	0.6361872
事物	东西	0.5671896
睡	寐	0.48370248
忌妒	妒嫉	0.83813524
俱乐部	富人	0.27504086
味道	鼻子	0.35136983
绩点	老师	0.4039244
关心	放任	0.59694844
空间	世界	0.45870474
僻静	冷静	0.4789885
字符	程序	0.5188837
裁判	足球	0.46981043
股票	银行	0.61543477
红颜	面容	0.3708573
